Ethereum Address,Token Balance
0x577115e2B8A8d104790e73BDc82426bb71A6764A,1368260950323700000000
0x9572356fe4e4795D8879C52bC1d2385F99Ad14c9,1350792882993730000000
0x9c7D3Bbc9492D9df25ada4E09332bdF331dF7d3b,1307084895548670000000
0x08F8f2e7D15b821cf2A3Bb6824279d473DD7508b,1277544505427520000000
0x9F628df6a27FF304584A3acdba95147D568BecBe,1262204224412980000000
0xd66Edd57bede421237b528c3068F5191bE47c456,1253674883816280000000
0x203dd71D893Ac0Ccb893E192D513003c6ef556EF,1251538953785980000000
0x1d5473527BdCF4E004cEb2ebeE5cF0c79BCeb6dC,1123947050891570000000
0x9a87FA7CE625D0bf7Bd923955b831805Cb329bbc,1080694917381270000000
0xC8A38B29A0e86d9317ce5cD6119fD5717F31850F,1070593224095790000000
0x63DD7e3AF47f9a52116866800fd8c10af0a0f235,1059454823612770000000
0x1d2575658cF7253B6cdEF3C88dFBBf73262139a7,1053055302256030000000
0x450304f423F879ee443191aFfCB7D2eBB4520E0d,1043335041699800000000
0xC2e6B265cb965DED721566f0f9Eb5ab1A6162A21,1001314843999460000000
0x7b57B7e898680197bDe4c5357b480939d9f99498,1000009488109850000000
0x006217C11f51611D9848D17550BC4B03fE02Deb0,1000009451390720000000
0x817E588e4c2eF612ebc152eB2C415f0238dd86af,919964484133137000000
0x750f4cE2b30fE266f34E2baFFD4dCe880DfAaE91,893704691234525000000
0x4e46C85734c04AE0a7F24a1Ca21368a58793C03e,891008041816129000000
0x585aD4052B9Ff5d10906Bd6E15284dFF14Cb937a,865814629735397000000
0x9257dCcB101e74FcEE582b1001E68C41af726A45,859515371122509000000
0x6D75eC27353982C65Ff292d9825D1FeEC8DBb762,831464648887386000000
0xA4fEa54f4dD3D8aaB135CF93bCA9219f9275066f,819289485931162000000
0x1911a4EAaa78aB68a3b5f5ABdB1f8B539e65d89E,749205137300000000000
0x3979045D4991D76C299e41358c5c228Bd1b97F7e,725675105369637000000
0xeA63e1e9324B9a1C72C3Cc29a7A405584665e806,696834325932876000000
0x25b05fC3DcD0577BC6406543fb785323304B68C1,631436875436530000000
0x79A336086F29E93318032afF6733678Cc5fc3361,625649840568287000000
0x53eA7731A71d662F0419A92F0f8aC7f8142F4cA2,568779537979306000000
0x5AF7140c215C85408DB1eCd969793C1E958930Ae,560814328861290000000
0x018A973136feeE8D41cb5A5De46fA491baECf2Dd,543005602666930000000
0xf9f4CC3A5c63F5dA1d2871158307119BA5a58e2E,536078430126755000000
0x7c739A9e8BE122821dD7A966f6E0939f5922CfBA,535974984465367000000
0x6836459eFBAEBf77F7b469cFbd539Bb602D162aa,534329002857643000000
0xB90a1CA13e574F9dD09Ac726cce4a6EC2e865191,534080000000000000000
0xA9Ba810A5049E39F4f7647e0F4B26d2532622E1c,527357535942369000000
0x95910EfbF5faC0B7715121656c5b62a819540C3a,506802314189921000000
0x0dC49C0Aa820558FD38787C9a223F64BA1e80C97,505870496833813000000
0x77459d937E6b721b12b5cc59fA46A515616B47a9,497298492817715000000
0x6BAf09B9227941C63b46846967217e21718d6025,482696776848473000000
0xcA8EEC7090C38ff7c73F81615eba32A39814BD3d,470378930000273000000
0x7b772c2e367607C6a9F21c3E792B63bE1dbC0Eb6,458249596925407000000
0x5b9459E0dEFb35EB98725A448f4b0571C4cb6b55,457779976738954000000
0x646263BDA2C10c532F470cB92B72A1817d50E21f,425218289573315000000
0x680f43BB780dD505A70a71b95e2B9aE92d2fBCbc,410601652921090000000
0xd7c9cE13e5280972ad00Cd77508244b485061F9c,410249854189769000000
0x47890e03a263cc53D1689AB72ad02A187Cf1c4Cd,403820000000000000000
0x8D6a2C7A07E4b645EEBa9D91877935fd310D26Bc,402773259580761000000
0xE1E49b44F9b388120e581f3ff9663F84C961b4A2,400134884090937000000
0x2e7e26a6007c68C3E6689C40478eCe45dCe3c947,385300300000000000000
0xa5028a536c8c08ED9a988Ee13ec57500C842DEca,380024021841807000000
0x82735147c800A786166D7Cc0E076fd056f773Dd1,373973799533230000000
0xD3bE310877c823BA59767Ae4722592D3d12Ea2ca,350000000000000000000
0x9ede008165CB094c530043E087A5ae03A6596472,341334032441183000000
0x69F899e70a0C7dA0e7Fc9f89E16b8e0B95A5FbdF,332351196792739000000
0x54cA6E9DbE512ef7c424582B856D75E2f06bFEA7,326675690216174000000
0x3d5e732c6625e25f2082B3Eed6E8f05B57Da8670,324275903292583000000
0x010D71d2fAC5b3281F20B36c88B65D90E74f9580,323845074654609000000
0x9CB3b0BA4f255991fd245653814D28fB13059A96,322738118335099000000
0x4B6b9D0BF03f120C587663070810B88175c66219,313152192690921000000
0x6681Ab4E6A5098cf647fc6f8e61F492cDB32526A,303377471361023000000
0xC9cF84994e1DC2fD04BCCbcDA4B77E16702b047f,300000000000000000000
0xd87474984b9e003290c07a7d17EFb9C77a8B7e3d,299115605920760000000
0x6E8c36E82c2E7bafB730Dc988840C4D71C6545c5,288737967372449000000
0x660CfAB1b410847C2E9C35c2Ae1223DBaF09C061,274530876274719000000
0x6Cdee4652ddBe0Cfb5B48a66fC4B9266eCD0e169,240645030880278000000
0x3B6a66017B75F04E55c73664Dd6A9cf2C8027E0e,240009058929305000000
0xc11b75Ad516439e0B29f0ff01b9AD63b6c2Ae3B2,235408117301685000000
0xca1E3A936d501A775dB6dBAc03c97649d89e2749,225076174081975000000
0x0F832Bcd158835B521E22cC27DC79370b40b4cAa,224784984063968000000
0x84d850ca7d7e5dEDBf95aA3AC5b9D73023cBbe84,224049931703393000000
0x748e29511b324613330B9A8E7406D09B3e50fcBC,218000000000000000000
0x3b1ffA0B9c7e6C5B2804Ed144E47aA7ce100abad,217987996075106000000
0x433e55070d0f5097307384f1aB09BBa49a3d6399,209818090000000000000
0x67a2B590217A29F4ce195a87f088b886460C698b,202893464405780000000
0xC22f47EbC79ec52B0aA5Db9a47C6FACffCC2EA42,197048594801570000000
0x9A9A36FC1458e17f5E6851a344662b194A82a9b5,195380162237438000000
0xdc61fDA7bd33971990D80cfc81ee761a8746dFe9,191814986423997000000
0x2c84d8a2fFb283d295DE6eB5287A2AdDdA51b6eC,183545973925273000000
0x16BebeA63C2d802053559619DC5B7953eaBC5350,181078837320270000000
0x227D1789621eB59Ca0Bdf8aacaeFD46347011C2D,179281203421473000000
0xf2136F48f74aaA4e55E8AD8Cbe4E2bfE7ED25568,177082200162858000000
