Ethereum Address,Token Balance
0x25a99d03c4b3B39ecE0f974eCF5d3a6bdd1cD3b0,41953379425273800000000
0x7B7985dc176Cc85D70356F3720AADd2636626C12,41666800000000000000000
0xd2d02F2359d7310392010E3A2B00A02aF79007f9,39769073491598700000000
0xbB64002BeDE22D46AC9697CC398C289AbaE45Ea2,37124521338089300000000
0xA53c6A2b534e493Aa986C71Fc0C4C67106993120,37036836188484700000000
0x93Cd913aA25225e8D894029527D65aC554c628c5,36900000001551100000000
0x4c5E1F7ee73771021cb502766c33b2353f0deC5e,35501277386862000000000
0xF3A449a8Dc1B2cd4FEff8F10733EC0A91cf98F1E,35000010201586900000000
0x389E30302a6dff422a3bcd713a1C98F5d0F6ef5F,33333500000000000000000
0x95DC0Fafe3e762656aaDca7A1197eba3142A28DC,32914541469216000000000
0x0E19A38c70E0Fa93161d1F405a6b3F61a7DE5Ee2,32297992425523500000000
0xcAf0CA07e1Dd3f716cd7F19CDd7f00b09c6a84B9,31932533806007300000000
0xD1AD27aD627e7f0f230E586c67EaAd4D6AecC33b,31316717131541500000000
0x17D7EE693d57A75D6e72eA873cF36405F68414B9,30000767121298700000000
0xe153ba6E7c8D5Ff6cE6d5968044ce72CD4bA38Fe,29955266088202100000000
0x9afa740F0072e4f453383AF9405589a255066739,29131812545080000000000
0x9F205dc3CfbD2CeF860c0ED3F5DeA5de76B11e28,27811436261890000000000
0xBA9b609BBae4484b8581A62AF497F8D3586FA222,25768924133048600000000
0xB7467070AD72f74d7b8B855C326167b036C637a5,25713984212958900000000
0x29ec750f3Ca2aC5F875C4aB7a2fCc9f5ee7478c9,25369890416277000000000
0x470b2fA0F3a05E27C34133f3cD27C205e78d6f33,25007677637795100000000
0xaC96Aed784EC6c2fd83b159Ab0A5F4Ba1Dc890bb,24940000009064700000000
0xCFf0e480348DF114B03EB6360857B57E4Dec93fa,24510470449314500000000
0x6a485142E1942157Fa8077b3597715886fdCc52E,23931751594415600000000
0x1dbfA8602c989fbdc6ac969298C7Fe9174518f39,23203383561733400000000
0x0F029250995f750Eff29d15f225CEf1DeE0167C8,21970900000000000000000
0xc17f271376c182FE3c14Ee50d2e9cc1764a0D381,21819476311940200000000
0x5ab967Bb1e2Be343650dF564Aa2F682A124bAb39,21707608537124900000000
