Ethereum Address,Token Balance
0x203dd71D893Ac0Ccb893E192D513003c6ef556EF,5057039970266800000000
0xaDD4Eb42Cde680a098Fc899c4a3f6eCbeBBdB707,5027767346712070000000
0xB2C6B0d6226B17dAbd492BeA7dc18d905f867558,4961817899567490000000
0xBed987B743596e019d6e298B442C318602944eF7,4960886562416550000000
0x6836459eFBAEBf77F7b469cFbd539Bb602D162aa,4920154863734880000000
0xcEe8484308C0C416187eb2a5d26d4dE1FeF14487,4773353592797710000000
0x4103baBcFA68E97b4a29fa0b3C94D66afCF6163d,4753209180486150000000
0x6d15783B2A25E98a49c215c71856886e17B5d605,4739762092960060000000
0x71EC5ABFc49075e158b0F85575D400D0f5D7d3BE,4707008900082930000000
0xE942c4FE2645610CEA69E2A58004Adc0C28B5772,4604467956795540000000
0xC7aEC0f63c13583fB90c061Dec45cc91652cDc1E,4520155872787990000000
0x955d404187f621401280B9767e01Da6AD76b07F2,4455148464678680000000
0xEA194EEfdD4036DFFD8E79Fd69481E3195ae424b,4455000000000000000000
0x4001dFECf2dD0a2f04fF261DA6741eBe138AAcEf,4443678613959250000000
0x14290920DDf69e07a3b8E5B6A40B51dC75a802c2,4278970555556670000000
0x480c25DAF801cD7ffa1Bf9d00aFDD5796FD37076,4229818399337370000000
0xD2c2ECC5B40dFF5979275b416f6E6f0f253DDF0d,4035387836820170000000
0x5D51685b39942BFC6dcAD75D1d81248B9f92D0f8,3821595667240420000000
0x51bD618e74b4796585edb3D4EF17166077032a48,3646930000000000000000
0xbAB4E2986916Ff6c979fA8DCD63C2452a846090C,3549898791508400000000
0xB7A1C6A5143b2D0EFFf58e6934b5117CB8781253,3430317872358060000000
0x23b022F6f1Fdb5033B877E2b64D4C1b78c2ee39c,3418237724055380000000
0xB99D45612548a9DDd4ED063BD1638CCB28957a6C,3264163872101260000000
0x62AB0D95461350C2b85e92c0D1E2b135A59E5Cc0,3202796305168080000000
0x6c790DaB4380fcCaF22d89f6425ff81E4a423B01,3201623427607290000000
0xcA8073192730F8Ec905e6Ce1138a6Fcb5D8a11d6,3199618653760060000000
0xCe2226685BD6D3b5F296e06ab3Eac73d204aC86e,3162590837445820000000
0xeba1cf5E9b72722585cc224A7B4F074f5D74d3F7,3072745418742590000000
0x32422e88C6D61Ae63294F57DF045bdb187B65Aa5,3046902966212710000000
0x2f709B9D3326296D74900d18DCdec195EE1030De,3037450471827230000000
0x945dF785238e91405Ab4B99F74c647773B81645F,3027952431200670000000
0x12DB9Ea20963B8F8d68D6EbeD940e6285A3f6c7D,2937757488097400000000
0x36659d872B1f828dAE9c25cF2dB275Ced0569529,2882442769706240000000
0xb83263eEbED8ED5b0c31f7c4E209f8943198B8Bb,2845000000000000000000
0x6600d19313bE5C6d7C96FcEb75B693d49143E005,2778440702624860000000
0x4510b18062ca49dc44F1B086350E16B731E4F0e2,2657738185610730000000
0x5AEE2AC58F6C2E35A9D69Eed00546FE2c0BE14B3,2629706707718900000000
0x3967A8785B3aC6E196EFEc68947F4D38F8bD8426,2614729986322040000000
0xFAC3dea53B7e3c014950e345fB41f1D3827282f8,2600638670473360000000
0x221672f033506C3fa3b3e0C200778fD3Ae8fFEc6,2552808518967000000000
0xe5d0f768e27460223225A22339aB6E106eC6e110,2502544233725880000000
0x5508246383939FC217EF3e51892B836554C10468,2458184799888470000000
0x6B57254c627Ca7aCC40aB21EBfDc2F47Ef472E8f,2440072559998570000000
0x78873D7A53EDE849D9F82ad451Eb8bAFc77244e7,2374869481000380000000
0x2181a7602056bFB63B392A04B9369d86C81C9D44,2346968237475750000000
0xAcA7EecDc88b58A79CbF918431B3ebcf1c8D00b0,2301695761377330000000
0x6C2e73d510D9dF0b154bB8a0ABCA71d2CeB27883,2240774708840740000000
0x86194994809Fd2E2a7F2FA68C479d46595EF7782,2237359945148340000000
0x4F0896AaDd5B52C4e268d0224B9Ed8DC61a68CeA,2235787500000000000000
0x98e2DF87BCBeF505ce4d530b6F9899B025FBF1BA,2212468505575930000000
0x18ac04359f67C03d09a1A1D5fe9fb023b50318f4,2182514081164290000000
